"plot_ID","plot","pair","location","habitat","treatment","site.hab","site.hab.ttm"
30,"AH1C","AH1C","Audkuluheidi","heath","control","Audkuluheidi_heath","Audkuluheidi_heath_control"
17,"AH1CF","AH1C","Audkuluheidi","heath","fenced","Audkuluheidi_heath","Audkuluheidi_heath_fenced"
12,"AH1NPK","AH1NPK","Audkuluheidi","heath","control","Audkuluheidi_heath","Audkuluheidi_heath_control"
9,"AH1NPKF","AH1NPK","Audkuluheidi","heath","fenced","Audkuluheidi_heath","Audkuluheidi_heath_fenced"
35,"AH2C","AH2C","Audkuluheidi","heath","control","Audkuluheidi_heath","Audkuluheidi_heath_control"
45,"AH2CF","AH2C","Audkuluheidi","heath","fenced","Audkuluheidi_heath","Audkuluheidi_heath_fenced"
39,"AH2NPK","AH2NPK","Audkuluheidi","heath","control","Audkuluheidi_heath","Audkuluheidi_heath_control"
21,"AH2NPKF","AH2NPK","Audkuluheidi","heath","fenced","Audkuluheidi_heath","Audkuluheidi_heath_fenced"
43,"AH3C","AH3C","Audkuluheidi","heath","control","Audkuluheidi_heath","Audkuluheidi_heath_control"
36,"AH3CF","AH3C","Audkuluheidi","heath","fenced","Audkuluheidi_heath","Audkuluheidi_heath_fenced"
25,"AH3NPK","AH3NPK","Audkuluheidi","heath","control","Audkuluheidi_heath","Audkuluheidi_heath_control"
28,"AH3NPKF","AH3NPK","Audkuluheidi","heath","fenced","Audkuluheidi_heath","Audkuluheidi_heath_fenced"
47,"AM1C","AM1C","Audkuluheidi","melur","control","Audkuluheidi_melur","Audkuluheidi_melur_control"
24,"AM1CF","AM1C","Audkuluheidi","melur","fenced","Audkuluheidi_melur","Audkuluheidi_melur_fenced"
3,"AM1NPK","AM1NPK","Audkuluheidi","melur","control","Audkuluheidi_melur","Audkuluheidi_melur_control"
20,"AM1NPKF","AM1NPK","Audkuluheidi","melur","fenced","Audkuluheidi_melur","Audkuluheidi_melur_fenced"
10,"AM2C","AM2C","Audkuluheidi","melur","control","Audkuluheidi_melur","Audkuluheidi_melur_control"
15,"AM2CF","AM2C","Audkuluheidi","melur","fenced","Audkuluheidi_melur","Audkuluheidi_melur_fenced"
41,"AM2NPK","AM2NPK","Audkuluheidi","melur","control","Audkuluheidi_melur","Audkuluheidi_melur_control"
33,"AM2NPKF","AM2NPK","Audkuluheidi","melur","fenced","Audkuluheidi_melur","Audkuluheidi_melur_fenced"
42,"AM3C","AM3C","Audkuluheidi","melur","control","Audkuluheidi_melur","Audkuluheidi_melur_control"
46,"AM3CF","AM3C","Audkuluheidi","melur","fenced","Audkuluheidi_melur","Audkuluheidi_melur_fenced"
27,"AM3NPK","AM3NPK","Audkuluheidi","melur","control","Audkuluheidi_melur","Audkuluheidi_melur_control"
7,"AM3NPKF","AM3NPK","Audkuluheidi","melur","fenced","Audkuluheidi_melur","Audkuluheidi_melur_fenced"
19,"TH1C","TH1C","Theistareykir","heath","control","Theistareykir_heath","Theistareykir_heath_control"
23,"TH1CF","TH1C","Theistareykir","heath","fenced","Theistareykir_heath","Theistareykir_heath_fenced"
31,"TH1NPK","TH1NPK","Theistareykir","heath","control","Theistareykir_heath","Theistareykir_heath_control"
13,"TH1NPKF","TH1NPK","Theistareykir","heath","fenced","Theistareykir_heath","Theistareykir_heath_fenced"
5,"TH2C","TH2C","Theistareykir","heath","control","Theistareykir_heath","Theistareykir_heath_control"
40,"TH2CF","TH2C","Theistareykir","heath","fenced","Theistareykir_heath","Theistareykir_heath_fenced"
34,"TH2NPK","TH2NPK","Theistareykir","heath","control","Theistareykir_heath","Theistareykir_heath_control"
6,"TH2NPKF","TH2NPK","Theistareykir","heath","fenced","Theistareykir_heath","Theistareykir_heath_fenced"
14,"TH3C","TH3C","Theistareykir","heath","control","Theistareykir_heath","Theistareykir_heath_control"
2,"TH3CF","TH3C","Theistareykir","heath","fenced","Theistareykir_heath","Theistareykir_heath_fenced"
11,"TH3NPK","TH3NPK","Theistareykir","heath","control","Theistareykir_heath","Theistareykir_heath_control"
4,"TH3NPKF","TH3NPK","Theistareykir","heath","fenced","Theistareykir_heath","Theistareykir_heath_fenced"
37,"TM1C","TM1C","Theistareykir","melur","control","Theistareykir_melur","Theistareykir_melur_control"
18,"TM1CF","TM1C","Theistareykir","melur","fenced","Theistareykir_melur","Theistareykir_melur_fenced"
48,"TM1NPK","TM1NPK","Theistareykir","melur","control","Theistareykir_melur","Theistareykir_melur_control"
1,"TM1NPKF","TM1NPK","Theistareykir","melur","fenced","Theistareykir_melur","Theistareykir_melur_fenced"
29,"TM2C","TM2C","Theistareykir","melur","control","Theistareykir_melur","Theistareykir_melur_control"
26,"TM2CF","TM2C","Theistareykir","melur","fenced","Theistareykir_melur","Theistareykir_melur_fenced"
22,"TM2NPK","TM2NPK","Theistareykir","melur","control","Theistareykir_melur","Theistareykir_melur_control"
32,"TM2NPKF","TM2NPK","Theistareykir","melur","fenced","Theistareykir_melur","Theistareykir_melur_fenced"
8,"TM3C","TM3C","Theistareykir","melur","control","Theistareykir_melur","Theistareykir_melur_control"
44,"TM3CF","TM3C","Theistareykir","melur","fenced","Theistareykir_melur","Theistareykir_melur_fenced"
16,"TM3NPK","TM3NPK","Theistareykir","melur","control","Theistareykir_melur","Theistareykir_melur_control"
38,"TM3NPKF","TM3NPK","Theistareykir","melur","fenced","Theistareykir_melur","Theistareykir_melur_fenced"
