"species","sp_name","life_form"
"THAALP","Thalictrum alpinum","perennial"
"ARENOR","Arenaria norvegica","perennial"
"FESSP","Festuca spp.","perennial"
"EMPNIG","Empetrum nigrum","perennial"
"KOBMYO","Kobresia myosuroides","perennial"
"BISVIV","Bistorta vivipara","perennial"
"GALNOR","Galium normanii","perennial"
"ANTODO","Anthoxanthum odoratum","perennial"
"POASP","Poa sp.","perennial"
"POAALP","Poa alpina","perennial"
"RUMACETOSELLA","Rumex acetosella","perennial"
"THYPRA","Thymus praecox","perennial"
"EQUVAR","Equisentum variegatum","perennial"
"ARMMAR","Armeria maritima","perennial"
"UNID","unidentified seedling",NA
"SALHER","Salix herbacea","perennial"
"RUMACETOSA","Rumex acetosa","perennial"
